icon,info,link,name,time,type
,携程旅行网是中国领先的在线旅行服务公司，向超过9000万会员提供酒店预订、酒店点评及特价酒店查询、机票预订、飞机票查询、时刻表、票价查询、航班查询、度假预订、商旅管理、为您的出行提供全方位旅行服务。,http://ctrip.com,携程旅行网,2021-08-05,购物旅行
,新浪网旅游频道是中国最大的旅游内容生产和分发平台，提供及时权威的旅游资讯和丰富的旅游短视频。新浪旅游整合门户与微博资源，为旅游者提供更加个性化、定制化和社交化的出行服务，为行业客户提供全面的营销解决方案。,http://travel.sina.com.cn,新浪旅游,2021-08-05,购物旅行
https://www.meet99.com/favicon.ico,"提供最齐全的国内外旅游景点大全,您可以在这里找到关于旅游目的地最详细的图文介绍,可信赖的游览路线,景区的卫星地图及出行提示,与大家分享自己的旅行心得感受。",http://meet99.com,相约久久旅游网,2021-08-05,购物旅行
,"去哪儿Qunar.com提供机票,飞机票,特价机票,打折机票的查询预订；99元春秋航空特惠折扣机票，百元南航、海航惊喜特价机票任您挑选,国航、深航1折特价机票和折扣机票一网打尽，更多打折机票尽在Qunar.com。实时提供上百家旅游预订网站机票报价和航空公司直销机票价格，为您找到最实惠的飞机票信息,是你查询特价机票和机票预订的最佳途径。",http://qunar.com,去哪儿,2021-08-05,购物旅行
,欣欣旅游网(CNCN.com)中国在线旅游超市为您提供100多万条旅游线路、门票、签证、酒店等预订服务…为您量身定制不一样的旅行…更新时间:21-08-04 21:20:19,http://cncn.com,欣欣旅游网,2021-08-05,购物旅行
,,http://nettvl.com,旅游互联,2021-08-05,购物旅行
http://www.16fan.com/favicon.ico,"十六番，这里有最新的自助游攻略游记，最佳自助游线路推荐,在线解答旅行交通、美食、住宿等问题,出境自助游有不清楚的地方就来十六番，手把手教你自由行。",http://16fan.com,十六番,2021-08-05,购物旅行
,,http://tuniu.com,途牛旅游网,2021-08-05,购物旅行
http://www.3hk.cn/favicon.ico,,http://3hk.cn,上香港网,2021-08-05,购物旅行
,"四川旅旅行社(Dreams-travel.com),梦之旅旅游网-中国首家即时预订旅游旅行网！成都神州国旅已为100万会员提供最专业全面的旅游线路和自助游-旅游资讯等一站式预订服务提供商,客户满意度98%;提供自由行,旅游攻略,景点介绍等,实时发团日期,报价,行程,全程优质的服务保障",http://dreams-travel.com,四川旅游网,2021-08-05,购物旅行
,同程旅行(LY.COM)是一家专业的一站式旅游预订平台，提供近万家景点门票、特价机票、出国旅游、周边游、自驾游及酒店预订服务；专业旅游线路服务、让您的旅行更安心！,http://17u.com,一起游,2021-08-05,购物旅行
http://www.oklx.com/favicon.ico,"OK旅行网提供列车时刻表查询,中国各省市景点介绍,世界各国景区信息概览等各种旅游、旅行资源大全.",http://oklx.com,OK旅行网,2021-08-05,购物旅行
http://m.elongstatic.com/static/webapp/pc_static/pc_hotel/other/common/pic/favicon.ico?t=201411070740,订酒店，用艺龙。订的省心，住的放心， 玩的开心！艺龙旅行作为中国优质的在线旅行服务提供商之一，提供专业的酒店住宿预订、机票、火车票等全方位的旅行产品预订服务，随时随地出发，伴您“艺”起同行！艺龙旅行专注酒店预订近20年，住宿业务覆盖全球超过120万家酒店及非标准住宿，在线支付、到店付任意选；预订酒店优惠享不停，可用红包立减、里程抵现，会员享受折扣再返现，优惠多多，早订早优惠；更有贴心服务伴您安心入住，酒店预订实时确认，到店无房最高赔付首晚房费；还有在线真实用户点评，出行“省时省力不吃亏” ！订酒店用艺龙，实惠舒适“艺”起享！,http://elong.com,艺龙旅行网,2021-08-05,购物旅行
," 户外运动,户外品牌,户外结伴,户外旅游,户外活动,出境游,国内游等综合指导平台,提供前沿户外攻略、户外知识,权威装备信息,千万用户真实点评,驴友交流论坛,海量户外活动综合平台,8264户外",http://8264.com,户外资料网,2021-08-05,购物旅行
http://www.yaochufa.com/favicon.ico,"【周边自驾游，就是要出发】要出发旅行网怎么样,要出发周边游旅行网是中国专业的周边自驾游、周边游玩预订网站,提供全国周边游线路的度假酒店,自助游,自由行,景点门票,温泉门票等优惠周边游团购。",http://yaochufa.com,要出发旅行网,2021-08-05,购物旅行
