icon,info,link,name,time,type
//statics.itc.cn/web/static/images/pic/sohu-logo/favicon.ico,"搜狐新闻,24小时提供时政新闻,国内新闻,国际新闻,生活新闻,时事热点,新闻图片,军事,历史,生活,的专业时事报道门户网站",http://news.sohu.com,搜狐新闻,2021-08-07,实时关注
,人民网，是世界十大报纸之一《人民日报》建设的以新闻为主的大型网上信息发布平台，也是互联网上最大的中文和多语种新闻网站之一。作为国家重点新闻网站，人民网以新闻报道的权威性、及时性、多样性和评论性为特色，在网民中树立起了“权威媒体、大众网站”的形象。,http://people.com.cn,人民网,2021-08-07,实时关注
//y0.ifengimg.com/index/favicon.ico,,http://news.ifeng.com,凤凰资讯,2021-08-07,实时关注
,"深圳新闻网是立足深圳、辐射全国的综合性区域门户网站,为用户提供新闻、视频、博客、房产、汽车、财经、健康、美食、旅游、教育、时尚、娱乐、交友等20多个频道,并拥有深圳最大的门户互动社区深圳论坛,以及深圳报业集团旗下《深圳特区报》、《深圳商报》、《深圳晚报》、《晶报》、《香港商报》、《Shenzhen Daily》等系列报刊杂志电子版",http://www.sznews.com,深圳新闻网,2021-08-07,实时关注
http://xinhuanet.com/favicon.ico,"中国主要重点新闻网站,依托新华社遍布全球的采编网络,记者遍布世界100多个国家和地区,地方频道分布全国31个省市自治区,每天24小时同时使用6种语言滚动发稿,权威、准确、及时播发国内外重要新闻和重大突发事件,受众覆盖200多个国家和地区,发展论坛是全球知名的中文论坛。",http://xinhuanet.com,新华网,2021-08-07,实时关注
http://res1.ynet.com/20/favicon.ico,,http://ynet.com,北青网,2021-08-07,实时关注
,胶东在线是山东省重点新闻网站网站，是网友了解烟台的首选网络媒体,http://jiaodong.net,胶东在线,2021-08-07,实时关注
http://wenming.cn/images/favicon.ico,"中国精神文明网网站（简称“中国文明网”）由中央宣传部、中央文明办主办, 是全国宣传思想战线和精神文明建设系统的门户网站，宗旨是传播文明、引领风尚。",http://wenming.cn,中国文明网,2021-08-07,实时关注
//mat1.gtimg.com/www/icon/favicon2.ico,腾讯网从2003年创立至今，已经成为集新闻信息，区域垂直生活服务、社会化媒体资讯和产品为一体的互联网媒体平台。腾讯网下设新闻、科技、财经、娱乐、体育、汽车、时尚等多个频道，充分满足用户对不同类型资讯的需求。同时专注不同领域内容，打造精品栏目，并顺应技术发展趋势，推出网络直播等创新形式，改变了用户获取资讯的方式和习惯。,http://news.qq.com,腾讯新闻,2021-08-07,实时关注
,,http://enorth.com.cn,北方网,2021-08-07,实时关注
,新浪网新闻中心是新浪网最重要的频道之一，24小时滚动报道国内、国际及社会新闻。每日编发新闻数以万计。,http://news.sina.com.cn,新浪新闻,2021-08-07,实时关注
,闽南网由福建日报报业集团主管，是福建主流媒体，闽南门户网站。实时报道泉州、晋江、石狮、南安、漳州、厦门、福建最新鲜的新闻及国内热点新闻事件，下设频道：泉州新闻、漳州新闻、厦门新闻、教育、房产、汽车、健康、图库、视频、泉州论坛等，丰富您的闽南在线生活，我们用权威、准确、及时的原创新闻努力打造闽南最大的新闻门户网站。,http://mnw.cn,闽南网,2021-08-07,实时关注
