icon,info,link,name,time,type
,晋江文学城(www.jjwxc.net)创立于2003年8月，是具备相当规模女性网络文学原创基地。站内作品题材多样，包括原创言情小说、都市小说、奇幻小说、纯爱小说、百合小说、轻小说以及衍生小说等，已诞生出《花千骨》《知否？知否？应是绿肥红瘦》《何以笙箫默》等上百部热门影视剧作品。晋江文学城已经从一个简单的文学爱好者集散地快速且稳健地成长为行业内的翘楚。,http://jjwxc.net,晋江文学城,2021-08-05,小说漫画
//s.faloo.com/novel/favicon.ico,"飞卢小说网,最热门的免费小说网站,提供都市小说、玄幻小说、穿越小说、言情小说、同人小说等免费小说在线阅读与下载。大神小说齐聚飞卢,每日万字更新。",http://b.faloo.com,飞卢小说网,2021-08-05,小说漫画
//img.faloo.com/novel/images/favicon.ico,"《飞卢中文网》提供精彩小说阅读,各种小说排行榜,免费好看的小说,官场经典小说,都市官场小说,官场都市小说,经典的官场小说,同人小说,综漫小说,玄幻小说,官场小说,都市小说,穿越小说,言情小说,武侠小说等小说在线阅读及txt下载,优秀小说尽在飞卢中文网.",http://faloo.com,飞卢中文网,2021-08-05,小说漫画
,致力于传播精品图书，第一时间刊发国内外文化图书资讯，为读者提供集阅读、写作、评书、购书的一站式服务。,http://book.sina.com.cn,新浪读书,2021-08-05,小说漫画
https://img3.doubanio.com/favicon.ico,记录你读过的、想读和正在读的书，顺便打分，添加标签及个人附注，写评论。根据你的口味，推荐适合的书给你。,http://book.douban.com,豆瓣读书,2021-08-05,小说漫画
,,http://tongxiehui.net,童鞋会,2021-08-05,小说漫画
http://img1.chuangshi.qq.com/book/p1/ico/bookqq.ico,"精彩小说尽在腾讯文学,腾讯文学提供玄幻小说,武侠小说,原创小说,网游小说,都市小说,言情小说,青春小说,历史小说,军事小说,网游小说,科幻小说,恐怖小说,首发小说最新章节免费小说阅读小说下载txt,精彩尽在腾讯文学!2013年热门小说:无敌唤灵,无红色权力,无限曙光,余罪,兵临天下,盛唐风月,武帝,大官人,勇闯天涯,机甲天王",http://book.qq.com,腾讯读书,2021-08-05,小说漫画
http://media.tadu.com/web_dubbo_static//images/tadu.ico,塔读文学网是专注于精品原创的小说网，提供原创小说和畅销出版书籍的在线阅读和下载服务。各类畅销小说推荐，包含玄幻小说、仙侠小说、网游小说、都市小说、历史小说、科幻小说、言情小说、穿越小说、文学艺术、经济管理、影视改编等。 ,http://tadu.com,塔读文学网,2021-08-05,小说漫画
,"TXT小说下载网,主要是全集全本全文完结版完整版电子书下载,免费小说下载和免费电子书下载,国内最好的TXT小说下载-乐读电子书下载网。",http://txtbook.com.cn,TXT小说下载网站,2021-08-05,小说漫画
https://img2.hongshu.com/Public/images/favicon.ico,"红薯小说网,提供最新免费小说.包括玄幻小说,言情小说,网游小说等热门分类.找好看的小说,请到hongshu.com,超快网速,更新频繁,为读者提供免费小说，友好交流的网站.",http://hongshu.com,红薯中文网,2021-08-05,小说漫画
https://www.xxsy.net/favicon.ico,专业女性言情小说网站，拥有穿越小说，架空小说，都市小说，玄幻小说，校园小说等20多万部，是最大的女性言情小说网站,http://xxsy.net,潇湘书院,2021-08-05,小说漫画
,"免费提供:儿歌大全100首|儿童歌曲|儿童故事|儿童舞蹈|儿童画|儿童学习等资源, 闪靓童网是爸妈放心的儿童绿色公益网站！",http://cnfla.com,闪靓童网,2021-08-05,小说漫画
https://static.zongheng.com/favicon.ico,"纵横中文网,最热门的免费小说网站,提供玄幻小说、网游小说、言情小说、穿越小说、都市小说等免费小说在线阅读与下载。大神作品齐聚纵横,最新章节每日更新。",http://zongheng.com,纵横中文网,2021-08-05,小说漫画
//qidian.gtimg.com/xs8/favicon/favicon.ico,"言情小说吧唯一官方网站。言吧提供古言、现言、原创、玄幻、都市、言情、娱乐、种田、科幻、悬疑、穿越、重生、宠文等小说,最新全本免费手机小说阅读推荐,精彩尽在言情小说吧。",http://xs8.cn,言情小说吧,2021-08-05,小说漫画
//qidian.gtimg.com/hongxiu/favicon/new_favicon.ico,又名“红袖添香”，国内知名网络文学原创小说门户。书城拥有海量完结全本小说，每日更新言情、都市、耽美、穿越、官场、重生、玄幻、女尊等小说的连载最新章节，定期发布阅读小说排行榜单，听有声小说推荐下载『红袖读书APP』。,http://hongxiu.com,红袖添香,2021-08-05,小说漫画
https://cdn2.jianshu.io/assets/favicons/favicon-e743bfb1821442341c3ab15bdbe804f7ad97676bd07a770ccc9483473aa76f06.ico,简书是一个优质的创作社区，在这里，你可以任性地创作，一篇短文、一张照片、一首诗、一幅画……我们相信，每个人都是生活中的艺术家，有着无穷的创造力。,http://jianshu.com,简书,2021-08-05,小说漫画
//qidian.gtimg.com/qd/favicon/qd_icon.c443c.ico,"起点中文网,最新热门小说网站，提供玄幻小说、武侠小说、原创小说、网游小说、都市小说、言情小说、青春小说、科幻小说等首发小说,最新章节在线阅读。更多精彩尽在起点中文网小说网。",http://qidian.com,起点中文网,2021-08-05,小说漫画
,"麦块安卓网提供安卓软件,安卓游戏下载,能下各种版本的游戏,并且能与玩家一起联网进行游戏.",http://mckuai.com,麦块,2021-08-05,小说漫画
,,http://kujiang.com,酷匠网,2021-08-05,小说漫画
//qidian.gtimg.com/qd/favicon/qdmm_icon.6bb22.ico,"起点女生网是女性小说原创门户,包括古代言情小说、仙侠奇缘、浪漫青春、玄幻言情 、悬疑推理、科幻空间、游戏竞技等小说。首发小说,最新章节免费，更多精彩尽在起点女生网",http://qdmm.com,起点女生网,2021-08-05,小说漫画
https://www.lkong.com/favicon.ico,,http://lkong.net,龙的天空,2021-08-05,小说漫画
,"有声小说吧是一个为您免费提供MP3有声小说打包下载、有声小说在线收听、百家讲坛全集、评书下载、儿歌大全、郭德纲相声等资源的有声小说网站,是最专业的免费打包下载和在线收听平台.每天海量更新",http://ysxs8.com,有声小说吧,2021-08-05,小说漫画
,,http://17k.com,17k小说网,2021-08-05,小说漫画
//qidian.gtimg.com/readnovel/favicon/favicon.ico,"小说阅读网唯一官方网站。小阅提供古言、现言、原创、玄幻、都市、言情、娱乐、种田、科幻、悬疑、穿越、重生、宠文等小说,最新全本免费手机小说阅读推荐,精彩尽在小说阅读网。",http://readnovel.com,小说阅读网,2021-08-05,小说漫画
http://wwwcdn.2cloo.com/images/2cloo.ico,,http://2cloo.com,二层楼书院,2021-08-05,小说漫画
,,http://e3ol.com,三国在线,2021-08-05,小说漫画
,,http://anhei2.com,暗黑暴风雪,2021-08-05,小说漫画
,,http://hxtk.com,华夏天空小说网,2021-08-05,小说漫画
http://files.shuhai.com/favicon.ico,,http://shuhai.com,书海小说网,2021-08-05,小说漫画
,"爱TXT为喜爱看小说的读者推荐最新最热门的小说,玄幻修仙,都市言情,耽美同人,穿越架空，科幻灵异好看好玩的小说尽在aitxt。",http://aitxt.com,爱TXT电子书论坛,2021-08-05,小说漫画
,小说阅读网，黑岩网提供玄幻小说，武侠小说，悬疑小说，历史小说，军事小说，仙侠小说，科幻小说，游戏小说，同人小说，古言小说等网络小说在线阅读 - www.heiyan.com,http://heiyan.com,黑岩网,2021-08-05,小说漫画
,,http://duwenzhang.com,文章阅读网,2021-08-05,小说漫画
,笔趣阁是广大书友最值得收藏的网络小说阅读网，网站收录了当前最火热的网络小说，免费提供高质量的小说最新章节，是广大网络小说爱好者必备的小说阅读网。,http://biquge.info,笔趣阁,2021-08-05,小说漫画
http://haodoo.net/image/favicon.ico,,http://haodoo.net,好读,2021-08-05,小说漫画
,本站提供各种优秀的医学资源下载服务，最新的医学电子书、视频资源。,http://kanyixue.com,看医学网,2021-08-05,小说漫画
