icon,info,link,name,time,type
,新浪网博客频道是全中国最主流，最具人气的博客频道。拥有最耀眼的娱乐明星博客、最知性的名人博客、最动人的情感博客，最自我的草根博客!,http://blog.sina.com.cn,新浪博客,2021-08-07,探索发现
,伯乐理财网为用户提供国内外财经新闻资讯，涵盖股票、公司、财经、理财、科技、消费等频道，致力于打造最新最及时最全面的财经咨询平台。,http://blog.jobbole.com,伯乐在线,2021-08-07,探索发现
,ITPUB博客每天千篇余篇博文新资讯，40多万活跃博主，为IT技术人提供全面的IT资讯和交流互动的IT博客平台-中国专业的IT技术ITPUB博客。,http://blog.itpub.net,ITPUB博客,2021-08-07,探索发现
,"中国财经门户网站东方财富网(www.eastmoney.com)博客频道——东方财富博客,拥有实时的推荐评论股市的博文,最具人气的财经博客排行榜,还有最热门财经名人博主人气榜。东方财富博客万博园中名人博主为您指点股市,评述财经新闻。",http://blog.eastmoney.com,东方财富博客,2021-08-07,探索发现
,松松网（卢松松博客）从2009年创立至今，已经成为国内知名的垂直网站之一。我们一直致力于提供前沿的网络推广知识，为草根站长与创业者提供全面的网络推广、网络营销、网站优化、创业故事等文章。,http://lusongsong.com,卢松松博客,2021-08-07,探索发现
http://blog.sohu.com/favicon.ico,搜狐博客是快速稳定的门户平台，提供最专业的Blog托管服务，免费注册，成为博客，建立自己的个人门户,http://blog.sohu.com,搜狐博客,2021-08-07,探索发现
https://g.csdnimg.cn/static/logo/favicon32.ico,"CSDN博客为中国软件开发者、IT从业人员、IT初学者打造交流的专业IT技术发表平台,全心致力于帮助开发者通过互联网分享知识,让更多开发者从中受益,一同和IT开发者用代码改变未来.",http://blog.csdn.net,CSDN博客,2021-08-07,探索发现
,,http://shandian.biz,闪电站博客,2021-08-07,探索发现
https://www.cadzxw.com/wp-content/themes/begin/img/favicon.ico,CAD自学网是一个永久免费的设计软件自学网，提供AutoCAD、Catia、UG、Pro/E、Creo、Solidworks、CAXA、PS、Revit、3dmax、sketchup，天正CAD等设计软件与教程的下载，致力于为设计师提供便捷的软件、教程和图纸下载。,http://www.cadzxw.com,CAD自学网,2021-08-07,探索发现
,"EETOP-创芯网（原:中国电子顶级开发网）是一家专为中国电子工程师、芯片工程师和电子设计主管提供半导体电子技术开发应用资讯的网络传媒。其内容服务核心是快速传播半导体集成电路领域的最新技术产品，新闻资讯，电子技术应用知识，提供电子工程师和设计主管所需要的各种工具资料。频道包括:半导体,集成电路,FPGA,可编程逻辑,汽车电子,通讯,手机,物联网,机器人,人工智能,数字电视,网络通信,工业控制,测试测量,安防电子,医疗电子,单片机,嵌入式,模拟电子,电源管理,RF无线,传感技术,MEMS",http://eetop.cn,中国电子顶级开发网,2021-08-07,探索发现
