icon,info,link,name,time,type
//qzonestyle.gtimg.cn/qzone/v8/img/Qzone.svg,QQ空间(Qzone)是拥有数亿用户的社交网络，是QQ用户的网上家园，是腾讯集团的核心平台之一。您可以玩游戏、玩装扮、上传照片、写说说、写日志，黄钻贵族还可以免费换装并拥有多种特权。QQ空间同时致力于建设腾讯开放平台，和第三方开发商、创业者一起为亿万中国网民提供卓越的、个性化的社交服务。,http://qzone.qq.com,QQ空间,2021-08-06,大众社区
http://renren.com/static/favicon.ico,人人是倡导实名制的社交网络平台，用户可以在平台上互相交流、分享信息和用户自创的内容，是一个和谐共处的网络社区。以内容为火车头，工具价值为载体，立足校园的实名制社交平台。,http://renren.com,人人网,2021-08-06,大众社区
https://static.zhihu.com/heifetz/favicon.ico,知乎，中文互联网高质量的问答社区和创作者聚集的原创内容平台，于 2011 年 1 月正式上线，以「让人们更好地分享知识、经验和见解，找到自己的解答」为品牌使命。知乎凭借认真、专业、友善的社区氛围、独特的产品机制以及结构化和易获得的优质内容，聚集了中文互联网科技、商业、影视、时尚、文化等领域最具创造力的人群，已成为综合性、全品类、在诸多领域具有关键影响力的知识分享社区和创作者聚集的原创内容平台，建立起了以社区驱动的内容变现商业模式。,http://zhuanlan.zhihu.com,知乎专栏,2021-08-06,大众社区
http://timepill.net/favicon.ico,胶囊日记是一个记录生活的日记本，在这里，你可以记录自己喜悦，悲伤，发牢骚，流水账，甚至只是一张相片，或者一条电话号码。,http://timepill.net,胶囊日记,2021-08-06,大众社区
,青春不常在，抓紧谈恋爱！缘分可遇也可求，该出手时就出手。世纪佳缘是国内领先的在线婚恋交友平台，提供丰富多彩的交友征婚活动，2.2亿会员，让缘分千万里挑一！,http://login.jiayuan.com,佳缘登录页,2021-08-06,大众社区
https://yixin.im/favicon.ico,易信是一款内容社交软件，产品主打话题社区版块沉淀优质内容，为负重中年提供一个表达自我、沟通观点的开放平台。来易信，聊天、发帖、交友，体验全新内容社交。,http://yixin.im,易信,2021-08-06,大众社区
,陌陌（momo）是一款基于地理位置的移动社交工具，你可以通过陌陌认识周围任意范围内的陌生人，查看TA的个人信息和位置，并同TA聊天互动。通过陌陌，你可以非常及时的将网络关系转换为线下的真实关系。,http://immomo.com,陌陌,2021-08-06,大众社区
,百合网--实名婚恋。免费通信，谈情说爱不再为钱所困。1亿实名认证会员，给你1亿的爱情火种。心理学专业恋爱类型测试帮你找到“对”的TA。,http://www.baihe.com,百合网,2021-08-06,大众社区
,,http://loveq.cn,一些事一些情,2021-08-06,大众社区
,"爱聊聊天室是是国内人气领先的免费视频聊天在线婚恋交友网站,24小时精彩大型多人免费视频聊天室,美女红娘一对一服务与你面对面视频聊天,高质量的网上视频聊天体验,真实自然的在线聊天,免费的网友主播交友聊天社区.",http://loveliao.com,爱聊视频聊天室 ,2021-08-06,大众社区
https://images.zastatic.com/zhenai3/zhenai2015/img/favicon.ico,珍爱网创始于2005年，现拥有2亿单身男女征婚交友相亲信息。珍爱网以网络征选红娘婚配的服务模式，为同城单身男女创造一个真实可靠的征婚交友相亲平台。开启真爱趁现在。,http://zhenai.com,珍爱网,2021-08-06,大众社区
,爱在这儿大型征婚交友网，会员注册免费，发信和看信也都免费，成功率又高，是广大单身朋友交友的好地方。,http://loveinhere.com,爱在这儿,2021-08-06,大众社区
http://www.bianzhirensheng.com/favicon-32x32.png,编织人生-手工编织网是国内手工编织领域的卓越品牌。内容包括毛衣编织教程，编织视频教学，儿童毛衣编织方法等，拥有编织人生门户，会编织教学平台及编织人生论坛几个部分组成。更多手工编织教程尽在编织人生网。,http://bianzhirensheng.com,编织人生,2021-08-06,大众社区
,微信电话本是腾讯公司打造的一款高效智能的通讯增强软件。打电话，用微信电话本，边聊边拍！微信电话本是QQ通讯录的升级版本，不但具备QQ通讯录中最受大家欢迎的通讯录备份、T9搜索、分组管理等通讯增强功能，还推出免费通话中拍照、视频通话、通话背景音、多人边玩边聊、独家导入微信头像等创新功能。,http://dianhua.qq.com,微信电话本,2021-08-06,大众社区
,酷爱直播是中国最大的真人互动视频直播社区。聊天室支持数万人同时在线视频聊天、在线K歌跳舞、视频交友。赶快加入，免费与数万个美女主播在线聊天。,http://9158.com,9158聚乐网,2021-08-06,大众社区
//g.alicdn.com/dingding/web/0.2.6/img/oldIcon.ico,DingTalk is an intelligent working platform created by Alibaba Group to support tens of millions of enterprises to achieve higher working efficiency with the new digitalized working method.,http://dingtalk.com,阿里钉钉,2021-08-06,大众社区
https://www.showse.com/ico.ico,Showse.com 秀色花园交友网，创办于2001年，专注于高素质人士交友！我们始终坚持严格审核会员资料，倡导坦诚的交友态度。在这里您可以找到分享人生感悟的知己；亲密无间的激情伴侣；游山玩水的快乐玩伴！,http://showse.com,秀色花园交友网 ,2021-08-06,大众社区
http://www.feizan.com/image/favicon.ico,"飞赞是中国最具人气的同志社交网络,中国Gay版Facebook.飞赞拒绝色情内容,办公室也能上飞赞.欢迎下载飞赞iPhone/Android手机客户端.",http://feizan.com,飞赞,2021-08-06,大众社区
,YY致力于打造全民娱乐的互动直播平台，以多样的美女互动、优质的直播内容、极致的互动体验，满足用户音乐、舞蹈、户外等直播及绝地求生、王者荣耀等热门游戏直播的观看需求。,http://yy.com,yy语音,2021-08-06,大众社区
https://www.iqingren.com/static/home/img/favicon.ico,爱情人网是同城交友网，可快速寻找附近单身男女，同城约会的爱情网站。,http://iqingren.com,情人网,2021-08-06,大众社区
http://static.taonanw.com/static/public/images/market_favicon.ico?1020,我们专注于帮助女性找到人生伴侣，让女性掌握交友主动权避免被骚扰，有数百万优质男性会员可供选择，提供免费的单身交友，同城交友，婚恋交友，征婚交友，相亲聚会等服务。,http://taonanw.com,淘男网,2021-08-06,大众社区
https://tui.weibo.com/images/favicon.ico,微博广告中心为您提供高效的微博广告投放平台，及多样化的广告产品。通过超级粉丝通，粉丝头条等投放渠道，依托微博强大的社交关系网络，将您的商业信息精准传达给目标用户。,http://tui.weibo.com,微博广告中心,2021-08-06,大众社区
,"中国资深专业大型交友网站—14年品牌,千万情感交友会员!手机核实,全面开放联系方式!方便快捷,超高性价比,全方位支持您的情感生活,美满感情从51交友开始!",http://51lover.org,51交友中心,2021-08-06,大众社区
,世纪佳缘交友网：致力于打造国内领先的在线婚恋交友平台，数百万会员在这里找到对象。现2.2亿注册会员，让缘分千万里挑一！,http://jiayuan.com,世纪佳缘,2021-08-06,大众社区
http://www.youyuan.com/xfile/www/images/ico/favicon_2_web.ico,有缘网是国内领先的大众婚恋交友移动互联网平台，专注于为最广泛的年轻单身男女婚恋交友创造更多机会和可能。找对象，上有缘网！,http://youyuan.com,有缘网,2021-08-06,大众社区
https://www.yhouse.com/favicon.ico,"「YHOUSE」,我们是一款城市精英首选的精品休闲娱乐与创意美食预订APP.在这里,可以解决你美食/旅游/美容等多种体验,与10,000,000与你一样喜爱高品质生活的城市精英,共同开启属于少数人的轻奢生活方式.",http://yhouse.com,YHOUSE悦会,2021-08-06,大众社区
,,http://vk.com,VK,2021-08-06,大众社区
,,http://jungewang.com,军歌网,2021-08-06,大众社区
http://img.supei.com/images/apple-touch-icon-196x196.png,速配网是最真实的全球华人征婚网和婚恋交友中心，速配功能强大，免费征婚！免费联系会员！找恋人-找对象-找老公-找老婆-找老伴-就来速配网！,http://supei.com,速配网,2021-08-06,大众社区
http://img1.kaixin001.com.cn/i/favicon/favicon1.ico,"开心网是一个在线社区,通过它您可以与朋友、同学、同事、家人保持更紧密的联系,及时了解他们的动态;与他们分享你的照片、心情、快乐。",http://kaixin001.com,开心网,2021-08-06,大众社区
http://liageren.com/assets/favicon.ico,使用两个人情侣空间，和心爱的人一起记录你们的甜蜜时刻,http://liageren.com,两个人,2021-08-06,大众社区
//cdn.51img1.com/v6/wan/common/images/favicon.ico,"玩游戏,上51.COM。51游戏是国内知名的网页游戏社区化平台,集游戏研发运营、真人交友、博客空间、美女主播等娱乐业务为一体,51游戏只做口碑最好的网页游戏运营和客户服务。",http://51.com,51游戏,2021-08-06,大众社区
