icon,info,link,name,time,type
http://miaopai.com/favicon.ico,,http://miaopai.com,秒拍,2021-08-05,影视视频
,搜狐视频是搜狐旗下专业的综合视频网站，提供正版高清电影、电视剧、综艺、纪录片、动漫等。网罗最新最热新闻、娱乐资讯，同时提供免费视频空间和视频分享服务。,http://tv.sohu.com,搜狐视频,2021-08-05,影视视频
,斗鱼 - 每个人的直播平台提供高清、快捷、流畅的视频直播和游戏赛事直播服务，包含英雄联盟lol直播、穿越火线cf直播、dota2直播、美女直播等各类热门游戏赛事直播和各种名家大神游戏直播，内容丰富，推送及时，带给你不一样的视听体验，一切尽在斗鱼 - 每个人的直播平台。,http://www.douyu.com,斗鱼,2021-08-05,影视视频
https://cn163.net/wp-content/uploads/2020/02/favicon.ico,"天天美剧是一个以美剧为主的站,提供即时新闻、新季回归时间表、新剧首播表。Netflix、Apple TV、Amazon(亚马逊)、Disney(迪士尼)、Hulu、HBO美剧电视节目表。",http://cn163.net,天天美剧,2021-08-05,影视视频
https://img3.doubanio.com/favicon.ico,豆瓣电影提供最新的电影介绍及评论包括上映影片的影讯查询及购票服务。你可以记录想看、在看和看过的电影电视剧，顺便打分、写影评。根据你的口味，豆瓣电影会推荐好电影给你。,http://movie.douban.com,豆瓣电影,2021-08-05,影视视频
,"视频服务平台,提供视频播放,视频发布,视频搜索,视频分享",http://youku.com,优酷网,2021-08-05,影视视频
,,http://fun.tv,风行网,2021-08-05,影视视频
//v.qq.com/favicon.ico,腾讯视频致力于打造中国领先的在线视频媒体平台，以丰富的内容、极致的观看体验、便捷的登录方式、24小时多平台无缝应用体验以及快捷分享的产品特性，主要满足用户在线观看视频的需求。,http://v.qq.com,腾讯视频,2021-08-05,影视视频
,"视频服务平台,提供视频播放,视频发布,视频搜索,视频分享",http://www.tudou.com,土豆网,2021-08-05,影视视频
,"56网是中国原创视频网站,免费上传搞笑逗趣生活视频，观看优质丰富的特色节目，关注感兴趣的原创导演和美女解说，快速分享及评论互动。""",http://www.56.com,56网,2021-08-05,影视视频
,新浪视频是新浪旗下的专业视频网站，提供最新、最热的新闻、体育、娱乐、话题、搞笑视频，直播热门体育赛事、明星访谈，汇集海量的电影、电视剧、综艺节目、公开课。,http://video.sina.com.cn,新浪视频,2021-08-05,影视视频
https://live.qq.com/nextStatic/favicon.ico,免费看高清NBA直播、NFL橄榄球直播、足球直播、台球直播、CBA、欧冠意甲西甲直播同时还有国家健美冠军直播健身教你减肥练出好身材，更有高颜值美女主播解说体育赛事。,http://live.qq.com,企鹅直播,2021-08-05,影视视频
,迅雷是全球领先的共享计算与区块链技术创新企业，公司成立于2003年，基于深耕十几年、获得国际专利的P2SP下载加速技术优势，面向个人用户和企业用户打造了丰富的下载加速、区块链、云计算、影音娱乐等产品及服务，为超过4亿用户创造了高效、智能、安全的互联网体验。,http://xunlei.com,迅雷看看,2021-08-05,影视视频
//sr1.pplive.cn/mcms/nav/images/favicon.ico,,http://pptv.com,PPTV,2021-08-05,影视视频
http://static1.mtime.cn/favicon.ico,,http://movie.mtime.com,时光网发现频道,2021-08-05,影视视频
,猫眼电影是国内观众喜爱的观影平台，为您提供了在线购票服务。同时，猫眼电影还为您提供电影预告片、票房查询、电影排行榜、影视资讯等信息。,http://maoyan.com,猫眼电影,2021-08-05,影视视频
//y0.ifengimg.com/index/favicon.ico,,http://v.ifeng.com,凤凰视频,2021-08-05,影视视频
,1905电影网（电影频道官方网站），涵盖最新电影、好看的电影、经典电影、电影推荐、免费电影、高清电影在线观看及海量最新电影图文视频资讯，看电影就上电影网1905.com。,http://1905.com,电影网,2021-08-05,影视视频
